year;country;top_10
2025;Albania;1
2025;Armenia;0
2025;Australia;0
2025;Austria;1
2025;Azerbaijan;0
2025;Belgium;0
2025;Croatia;0
2025;Cyprus;0
2025;Czech Republic;0
2025;Denmark;0
2025;Estonia;1
2025;Finland;0
2025;France;1
2025;Georgia;0
2025;Germany;0
2025;Greece;1
2025;Iceland;0
2025;Ireland;0
2025;Israel;1
2025;Italy;1
2025;Latvia;0
2025;Lithuania;0
2025;Luxembourg;0
2025;Malta;0
2025;Montenegro;0
2025;Netherlands;0
2025;Norway;0
2025;Poland;0
2025;Portugal;0
2025;San Marino;0
2025;Serbia;0
2025;Slovenia;0
2025;Spain;0
2025;Sweden;1
2025;Switzerland;1
2025;Ukraine;1
2025;United Kingdom;0